Date,Open,High,Low,Close,Adj Close,Volume
2017-07-27,90.150002,92.900002,89.400002,90.300003,89.657585,1526363
2017-07-28,89.199997,90.300003,88.800003,89.699997,89.061852,765661
2017-07-31,91.650002,91.900002,88.500000,89.099998,88.466118,1093318
2017-08-01,89.150002,92.900002,88.650002,92.800003,92.139801,1651835
2017-08-02,92.800003,93.449997,87.800003,89.599998,88.962563,2178981
2017-08-03,92.500000,92.550003,90.449997,91.699997,91.047623,1356406
2017-08-04,91.750000,92.949997,90.699997,92.949997,92.288727,980245
2017-08-07,92.900002,93.599998,92.550003,93.500000,92.834816,359795
2017-08-08,93.650002,95.300003,93.500000,94.750000,94.075928,766786
2017-08-09,94.150002,94.750000,93.050003,94.400002,93.728416,811744
2017-08-10,94.400002,94.400002,93.199997,93.349998,92.685883,496999
2017-08-11,92.449997,92.650002,90.000000,90.599998,89.955452,940887
2017-08-14,91.300003,93.599998,91.099998,93.349998,92.685883,608514
2017-08-16,93.750000,94.949997,93.449997,94.750000,94.075928,717518
2017-08-17,94.500000,94.900002,93.650002,93.750000,93.083038,430552
2017-08-18,93.050003,94.800003,92.300003,94.800003,94.125572,605085
2017-08-21,94.800003,95.150002,93.400002,95.150002,94.473083,573320
2017-08-22,95.599998,98.349998,94.800003,98.050003,97.352455,1021835
2017-08-23,97.699997,98.650002,97.000000,97.900002,97.203522,946487
2017-08-24,98.400002,98.750000,96.650002,96.650002,95.962410,729752
2017-08-25,97.150002,97.849998,96.050003,96.099998,95.416321,471518
2017-08-28,96.500000,96.699997,94.849998,95.349998,94.671654,388126
2017-08-29,95.000000,95.099998,93.349998,94.699997,94.026276,747480
2017-08-30,95.150002,96.400002,94.949997,96.300003,95.614906,489017
2017-08-31,96.500000,96.900002,95.800003,96.099998,95.416321,654912
2017-09-01,96.849998,97.349998,96.150002,97.250000,96.558144,458056
2017-09-04,96.300003,97.650002,95.300003,97.250000,96.558144,597337
2017-09-05,97.050003,98.250000,97.000000,97.699997,97.004936,717720
2017-09-06,97.400002,99.199997,97.300003,97.750000,97.054581,651118
2017-09-07,96.000000,96.099998,90.250000,91.000000,90.352608,2429896
2017-09-08,90.000000,93.500000,88.750000,91.099998,90.451889,1505975
2017-09-11,92.300003,93.250000,91.900002,92.900002,92.239090,759144
2017-09-12,93.300003,93.800003,91.800003,92.050003,91.395142,794131
2017-09-13,91.800003,92.199997,91.300003,91.349998,90.700111,930164
2017-09-14,91.099998,92.500000,91.099998,91.449997,90.799400,754666
2017-09-15,91.699997,92.849998,91.150002,91.650002,90.997986,1137607
2017-09-18,91.550003,94.199997,91.300003,93.900002,93.231972,744472
2017-09-19,94.199997,94.599998,93.849998,94.599998,93.926994,500085
2017-09-20,94.599998,94.750000,94.000000,94.599998,93.926994,496704
2017-09-21,94.449997,95.250000,94.349998,95.150002,94.473083,525402
